;15032;15029;15028;15027;15026;15025;15024;15023;15022;15021;15020;15019;15018;15017;15016;15015;15014;15013;15012;15011;15010;15009;15007;15006;15005;15004;15003;15002;15001
;Aug 8;Aug 7;Aug 6;Aug 5;Aug 5;Aug 4;Aug 4;Aug 3;Aug 3;Aug 3;Aug 2;Aug 2;Aug 1;Aug 1;Jul 31;Jul 31;Jul 30;Jul 30;Jul 29;Jul 29;Jul 28;Jul 28;Jul 27;Jul 27;Jul 27;Jul 26;Jul 26;Jul 25;Jul 25
;;
failed;=COUNTIF(B9:B27, "x");=COUNTIF(C9:C27, "x");=COUNTIF(D9:D27, "x");=COUNTIF(E9:E27, "x");=COUNTIF(F9:F27, "x");=COUNTIF(G9:G27, "x");=COUNTIF(H9:H27, "x");=COUNTIF(I9:I27, "x");=COUNTIF(J9:J27, "x");=COUNTIF(K9:K27, "x");=COUNTIF(L9:L27, "x");=COUNTIF(M9:M27, "x");=COUNTIF(N9:N27, "x");=COUNTIF(O9:O27, "x");=COUNTIF(P9:P27, "x");=COUNTIF(Q9:Q27, "x");=COUNTIF(R9:R27, "x");=COUNTIF(S9:S27, "x");=COUNTIF(T9:T27, "x");=COUNTIF(U9:U27, "x");=COUNTIF(V9:V27, "x");=COUNTIF(W9:W27, "x");=COUNTIF(X9:X27, "x");=COUNTIF(Y9:Y27, "x");=COUNTIF(Z9:Z27, "x");=COUNTIF(AA9:AA27, "x");=COUNTIF(AB9:AB27, "x");=COUNTIF(AC9:AC27, "x");=COUNTIF(AD9:AD27, "x");
pass;=SUM(B9:B27);=SUM(C9:C27);=SUM(D9:D27);=SUM(E9:E27);=SUM(F9:F27);=SUM(G9:G27);=SUM(H9:H27);=SUM(I9:I27);=SUM(J9:J27);=SUM(K9:K27);=SUM(L9:L27);=SUM(M9:M27);=SUM(N9:N27);=SUM(O9:O27);=SUM(P9:P27);=SUM(Q9:Q27);=SUM(R9:R27);=SUM(S9:S27);=SUM(T9:T27);=SUM(U9:U27);=SUM(V9:V27);=SUM(W9:W27);=SUM(X9:X27);=SUM(Y9:Y27);=SUM(Z9:Z27);=SUM(AA9:AA27);=SUM(AB9:AB27);=SUM(AC9:AC27);=SUM(AD9:AD27);
total run;=COUNTA(B9:B27);=COUNTA(C9:C27);=COUNTA(D9:D27);=COUNTA(E9:E27);=COUNTA(F9:F27);=COUNTA(G9:G27);=COUNTA(H9:H27);=COUNTA(I9:I27);=COUNTA(J9:J27);=COUNTA(K9:K27);=COUNTA(L9:L27);=COUNTA(M9:M27);=COUNTA(N9:N27);=COUNTA(O9:O27);=COUNTA(P9:P27);=COUNTA(Q9:Q27);=COUNTA(R9:R27);=COUNTA(S9:S27);=COUNTA(T9:T27);=COUNTA(U9:U27);=COUNTA(V9:V27);=COUNTA(W9:W27);=COUNTA(X9:X27);=COUNTA(Y9:Y27);=COUNTA(Z9:Z27);=COUNTA(AA9:AA27);=COUNTA(AB9:AB27);=COUNTA(AC9:AC27);=COUNTA(AD9:AD27);
pass rate;=IF(B5=0, "N/A",B5/B6);=IF(C5=0, "N/A",C5/C6);=IF(D5=0, "N/A",D5/D6);=IF(E5=0, "N/A",E5/E6);=IF(F5=0, "N/A",F5/F6);=IF(G5=0, "N/A",G5/G6);=IF(H5=0, "N/A",H5/H6);=IF(I5=0, "N/A",I5/I6);=IF(J5=0, "N/A",J5/J6);=IF(K5=0, "N/A",K5/K6);=IF(L5=0, "N/A",L5/L6);=IF(M5=0, "N/A",M5/M6);=IF(N5=0, "N/A",N5/N6);=IF(O5=0, "N/A",O5/O6);=IF(P5=0, "N/A",P5/P6);=IF(Q5=0, "N/A",Q5/Q6);=IF(R5=0, "N/A",R5/R6);=IF(S5=0, "N/A",S5/S6);=IF(T5=0, "N/A",T5/T6);=IF(U5=0, "N/A",U5/U6);=IF(V5=0, "N/A",V5/V6);=IF(W5=0, "N/A",W5/W6);=IF(X5=0, "N/A",X5/X6);=IF(Y5=0, "N/A",Y5/Y6);=IF(Z5=0, "N/A",Z5/Z6);=IF(AA5=0, "N/A",AA5/AA6);=IF(AB5=0, "N/A",AB5/AB6);=IF(AC5=0, "N/A",AC5/AC6);=IF(AD5=0, "N/A",AD5/AD6);
;;
betty;;;1;;1;;1;;1;;;1;;;;1;;1;;1;1;;1;;1;;1;;;
betty-arc-r;;;;1;;1;;1;;1;1;;1;;1;;1;;1;;;1;;1;;1;;1;;
betty-kernelnext;;;;1;;1;;1;;1;1;;;;1;;1;;1;;;1;;1;;1;;1;;
betty-pi-arc;;;1;1;1;1;1;1;1;1;1;1;;1;1;;1;1;1;;;;;1;;1;;1;;
hana;;;1;;1;;1;;;;;1;;;;1;;1;;;1;;1;;1;;;;1;
hana-kernelnext (hana);;;;1;;1;;;;;;;1;;1;;1;;;;;;;1;;1;;1;;
kukui (kodama);;;1;;1;;1;;;;;1;;1;;1;;1;;1;1;;1;;1;;1;;1;
kukui (krane);;;1;;1;;1;;;;;1;;1;;;;1;;1;1;;1;;;;1;;1;
kukui-arc-r (krane);;;;1;;1;;;;;1;;;;1;;1;;1;;;1;;1;;1;;1;;
kukui-kernelnext (kodama);;;;1;;1;;;;;1;;1;;1;;1;;1;;;1;;1;;1;;1;;
